key,title,description,date
1,"YaJUG++ Hackerfest at Hackerspace","An informal hackers' gathering. No strings attached, no presentation, bring your laptops and favorite beverages and hack away with your fellow Juggers",2012-10-10
2,"De la synchronisation aux transactions en mémoire et aux acteurs","Depuis la généralisation des processeurs multicoeurs, il n'est plus possible à la JVM de mentir : le multithread exécute bien du code en parallèle. Nouvelle façon de s'exécuter, donc nouveaux bugs, nouveaux problèmes, mais aussi nouvelles solutions. De quoi la boite à outils du développeur d'applications concurrentes est-elle faite, quels sont ces nouveaux outils, en fait pas si nouveaux, mais plus que jamais nécessaires pour exploiter pleinement la puissance de processeurs à venir ? Voila les questions que nous nous poserons, et auxquelles nous tenterons de répondre. José Paumard",2012-06-26
3,"Websphere Liberty Profile vs Google App Engine","Tired of installing WAS from 3 products DVDs ? Drinking too much coffees while waiting WAS to start ? Discover WAS 8.5 and learn about the new developer friendly WAS Liberty Profile. See it running live during a short demo and discover other new stuff that will be part of WAS 8.5.\n Sébatien Stormacq\n\nThe PaaS pionnier is only getting better with time. With still with 0 config required and best possible availability, a polyglot runtime, choice of NoSQL or SQL, a richer set of APIs and features, come and taste the 2012 Grand Cru!. \nAlexis Moussine-Pouchkine.",2012-06-13
4,"Les 5 mercenaires de Devops","5 cowboys mercenaires viennent des 4 coins de l'Europe francophone pour venir vous présenter en avant-première leur session de Devoxx France.Sous la forme d'un remake de l'évolution de l'organisation d'une équipe de développement depuis la célèbre méthode "La rache" certifiée ISO-1664 aux nouvelles pratiques dites Devops en passant par les bonnes pratiques actuelles.Si vous voulez prendre en route le train de l'amélioration des pratiques de production d'applications, venez nous rejoindre.Sinon, continuez "la rache".",2012-04-16
5,"XWiki","When developing a web application the traditional way is to develop the application from scratch using a general purpose language such as PHP, Grails, Java/JSP, etc. This presentation will show that a second generation wiki (examples based on XWiki) can be used as a web development platform to develop applications on top of it, providing much if not all the needed infrastructure scaffolding.The advantages are similar to those of using an application sever. However whereas an application server offers technical services only, a wiki platform offers higher level services such as content management, rendering, storage, WYSIWYGeditor, user management, and a lot more.Not only are these services offered, you can develop using them in your traditional IDE or in the runtime, directly in wiki pages. This allows developing web applications extremely quickly with a fast turnaround time, which is perfect for adhoc web application development.\nVincent Massol et Denis Gervalle",2012-03-20
6,"RedHat OpenShift and JBPM","Whether you're a seasoned Java developer looking to start hacking on EE6 or you just wrote your first line of Ruby yesterday, the cloud is turning out to be the perfect environment for developing applications in just about any modern language or framework. There are plenty of clouds and platform-as-a-services to choose from, but where to start? Join us for an action-packed hour of power where we'll show you how to deploy an application written in the language of your choice - Java, Ruby, PHP, Perl or Python, with the framework of your choice - EE6, CDI, Seam, Spring, Zend, Cake, Rails, Sinatra, PerlDancer or Django to the OpenShift PaaS in just minutes. And without having to rewrite your app to get it to work the way the cloud provider thinks your app should work.Check the command-line fu as we leverage Git to onboard apps onto OpenShift Express in seconds, while also making use of the web browser do the heavy-lifting of provisioning clusters, deploying, monitoring and auto-scaling apps in OpenShift Flex.If you want to learn how the OpenShift PaaS and investing an hour of your time can change everything you thought you knew about developing applications in the cloud, this session is for you!\nEric D. Schabell",2012-01-17
